Myanmar,30.2,40.1,60.2,110.3,186.6,197.1,211.5,229.4,247.7,265,280.5,299.5,318.1,,104
Namibia,8.2,9.9,11.7,14.9,18.4,19.3,20.3,21.4,22.8,24.2,24.5,24.3,24.2,,516
Nauru,..,..,..,..,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,,520
Nepal,22.5,28.9,36.6,43.2,53.7,55.5,58.2,60.6,64.2,66.3,66.7,72,76.5,,524
Netherlands,483,541,669.1,715.3,766,777.9,769.9,768.9,779.8,795.1,812.5,835.8,858.2,,528
New Zealand,80,93.7,108.4,132,140.2,143.5,146.7,150.5,156.1,161.7,167.6,172.8,177.6,,554
Nicaragua,12.4,13.6,17.3,20.2,23.1,24.6,26.2,27.5,28.8,30.2,31.5,33,31.7,,558
Niger,7.2,7.4,8.6,10.4,13.4,13.7,15.3,16.1,17.3,18.1,19,19.9,20.9,,562
Nigeria,320,323,375.3,572.3,806.1,848.8,884.7,943.8,1003.3,1029.9,1013.3,1021.4,1041.2,,566
Norway,181.6,218.2,260.7,290.6,304.8,307.8,316.2,319.5,325.8,332.2,336.2,342.8,347.8,,578
Oman,63.5,84.5,99.7,104.1,137.9,136.4,149.1,155.6,159.9,167.5,175.8,174.2,177.9,,512
Pakistan,329,412.4,484.1,617.7,730.6,750.7,777,811.2,849.1,889.3,938.4,991.9,1045.8,,586
Palau,..,..,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,585
Panama,19.4,25.4,32.2,39.8,56.9,63.4,69.6,74.4,78.2,82.6,86.7,91.3,94.7,,591
Papua New Guinea,10.2,15.5,15.3,17,22.7,22.9,24,24.9,28.3,31,32.2,32.7,32.9,,598
Paraguay,33.5,41.6,42.5,46.7,60.9,63.4,63.1,68.4,71.7,74,77.1,81,83.9,,600
Peru,116,149.7,170.1,209.7,292.5,311,330.1,349.4,357.7,369.3,384,393.6,409.3,,604
Philippines,248.4,276.5,329.4,412.3,524.6,543.8,580.1,621.1,659.3,699.3,747.4,797.3,847.1,,608
Poland,391.6,436.1,563.6,656.2,828.2,869.8,883.8,896.1,925.8,961.3,990.8,1038.5,1091.9,,616
Portugal,201.3,219.1,267.5,279.3,288,282.7,271.3,268.3,270.7,275.6,280.9,288.8,295,,620
Qatar,..,..,64.2,95,222.7,252.5,264.3,276,287,297.5,303.8,308.6,313,,634
Romania,265.6,236.5,233.8,307.6,353.7,360.8,368.3,381.2,394.2,409.5,429.2,459.2,478,,642
Russian Federation,3094.5,1922.3,2079.3,2800.3,3332.1,3475.4,3604,3668.8,3694.5,3609.3,3621.2,3680.2,3763.2,,643
Rwanda,6.3,4,6.4,9.4,14,15.1,16.4,17.2,18.5,20.2,21.4,22.7,24.6,,646
Saint Kitts and Nevis,0.6,0.8,1,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.5,,659
Saint Lucia,1.3,1.5,1.7,1.8,2,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,,662
Saint Vincent and the Grenadines,0.6,0.7,0.8,1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,,670
Samoa,0.6,0.6,0.8,1,1,1.1,1.1,1,1.1,1.1,1.2,1.2,1.2,,882
San Marino,..,..,2.1,2.4,2.3,2.1,1.9,1.9,1.8,1.9,1.9,1.9,1.9, a,674
Sao Tome and Principe,..,..,..,0.3,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,,678
Saudi Arabia,693.2,824,894.3,1088.6,1245.7,1370.2,1444.4,1483.4,1537.6,1600.7,1627.4,1615.4,1651.1,,682
Senegal,17.5,19.4,23.7,29.7,35.2,35.7,37.5,38.6,41.1,43.8,46.5,49.8,53.2,,686
Serbia,..,56,59.7,80.6,97.5,99.4,98.8,101.6,100,101.8,105.2,107.3,112,,688
Seychelles,1,1.1,1.5,1.5,1.8,2,2,2.1,2.2,2.3,2.4,2.5,2.6,,690
Sierra Leone,5.4,4.1,4.2,6,7.8,8.2,9.5,11.5,12,9.5,10.1,10.5,10.9,,694
Singapore,106.4,160.7,210.9,267.2,370.9,394.1,411.7,431.5,448.3,461.3,475,492.5,508,,702
Slovakia,..,70.7,84.1,107.6,135.6,139.5,141.8,143.9,147.8,154,158.8,163.9,170.6,,703
Slovenia,37.8,36.7,45.2,53.9,58.8,59.1,57.6,56.9,58.6,59.9,61.8,64.8,67.7,,705
Solomon Islands,0.6,0.9,0.8,0.8,1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,,90
South Africa,364.3,380.1,436.2,526.4,613.2,633.4,647.4,663.5,675.7,684.4,688.2,697.3,701.6,,710
South Sudan,..,..,..,..,38.2,36.4,19.6,22.2,22.9,20.5,18.2,18.2,18.2, b,728
Spain,923.4,995.1,1215.7,1436.3,1514.1,1499,1455.1,1430.3,1450,1502.8,1550.5,1596.7,1637.9,,724
Sri Lanka,62.6,81.4,104.1,126.4,172.3,186.8,203.8,210.8,221.2,232.3,242.7,251,259.1,,144
Sudan,45.2,58,77.6,105.9,149.6,146.7,147.5,153.9,158.1,165.8,173.6,181,176.8,,729
Suriname,4.2,4.2,4.6,6,7.5,7.9,8.1,8.4,8.4,8.1,7.7,7.8,7.9,,740
Sweden,265.1,274.7,327.4,372.6,403.2,414,412.7,417.8,428.7,447.8,459.8,469.5,480.6,,752
Switzerland,323.6,325.7,364.8,392.5,437.1,444.5,449,457.3,468.5,474.8,482.4,490.2,502.6,,756
Tajikistan,19.3,7.4,7.4,11.7,16.1,17.3,18.6,20,21.3,22.6,24.1,26,27.9,,762
Thailand,376.3,558.1,578.5,754.1,906.4,914,980.2,1006.6,1016.5,1048.3,1083.5,1127.1,1173.7,,764
Timor-Leste,..,..,2.9,6.5,9.8,11,11.5,10.2,7.6,9.2,9.2,8.4,8.6,,626
Togo,4.9,4.9,6.1,6.4,8,8.5,9,9.6,10.2,10.7,11.3,11.8,12.3,,768
Tonga,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,,776
Trinidad and Tobago,13.3,16.2,23.2,34.3,41.5,41.4,41.9,42.8,42.4,43.1,40.3,39.5,39.8,,780
Tunisia,46.2,55.9,73.5,88.9,111,108.9,113.3,116.5,120,121.4,123,125.2,128.3,,788
Turkey,614.7,720,876.6,1107.5,1298.9,1443.3,1512.4,1640.9,1725.6,1830.7,1888.9,2029.5,2081.6,,792
Turkmenistan,30.6,19.4,24.1,30.9,50.6,58,64.5,71,78.3,83.4,88.6,94.4,100.2,,795
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,,798
Uganda,13.4,18.8,25.2,34.9,51.4,56.2,58.4,60.5,63.6,66.9,70.1,72.8,77.2,,800
Ukraine,543,260.6,235.9,342.9,358.9,378.5,379.4,379.3,354.5,319.8,327.6,335.7,346.9,,804
United Arab Emirates,205.4,247.3,323.8,420.4,473.4,506.2,528.9,555.6,580,609.4,627.6,632.6,641.6,,784
Uruguay,30.6,37.1,42.8,43.2,57.6,60.6,62.8,65.7,67.8,68.1,69.2,71,72.1,,858
Uzbekistan,63.4,51.4,62.1,80.6,121.1,131.1,141.9,153.3,164.3,176.5,187.3,195.6,205.7,,860
Vanuatu,0.4,0.4,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,,548
