Tunisia,9478,11645,13328,15499,15049,15496,15697,16194,16335,16451,16532,16722, a,788
Turkey,18655,21541,25923,25618,27750,28386,30098,31194,32123,32355,33866,34138, a,792
Turkmenistan,6096,6570,7918,11705,13028,14256,15563,16820,18219,19668,20294,21214, a,795
Uganda,1120,1279,1485,2016,2139,2140,2147,2177,2214,2230,2216,2247, a,800
Ukraine,6198,6066,9392,9704,10395,10438,10408,10433,9427,9727,9814,10232, a,804
United Arab Emirates,146252,145570,119966,67774,69602,71827,76110,79977,84480,86464,86060,85771, a;b,784
Uruguay,15276,16941,16526,21543,22425,22053,23727,24040,24461,24020,24271,24291, a,858
Uzbekistan,2955,3240,4009,5574,5925,6358,6837,7126,7369,7639,7926,8277, a,860
Vanuatu,3030,3376,3069,3459,3422,3266,3444,3464,3258,3358,3389,3413, a,548
Venezuela (Bolivarian Republic of),21248,20075,20392,20828,21009,21802,21680,21284,18848,15850,13571,11547, a,862
Viet Nam,2293,3220,3707,4770,4970,5096,5259,5473,5720,6078,6379,6703, a,704
Yemen,3014,4495,5404,6522,6941,6093,6189,6134,4971,3666,2814,2679, a,887
Zambia,2288,2439,2817,3661,3820,4133,4081,4227,4223,4220,4133,4164, a,894
Zimbabwe,3157,3377,2255,1958,2158,2502,2596,2619,2580,2602,2684,3080, a,716
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,,20
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,,28
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,,212
Micronesia (Federated States of),..,..,..,..,..,..,..,..,..,..,..,..,,583
Grenada,..,..,..,..,..,..,..,..,..,..,..,..,,308
Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,,296
Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,..,..,,659
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,,438
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,,584
Palau,..,..,..,..,..,..,..,..,..,..,..,..,,585
Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,,690
United Kingdom,37521,42402,46551,48304,48863,48216,48314,49235,49317,49593,50430,50772, a,826
United States,49593,57344,62015,60900,61578,62555,63289,64293,65669,66146,67078,68064, a,840
